学号	志愿类型	GPA	平均绩点排名
15715	第一志愿	4.04	2
18091	第二志愿	4.03	3
17302	第一志愿	4.02	4
19627	第一志愿	4.02	4
19975	第四志愿	3.99	6
8056	第二志愿	3.93	10
15673	第三志愿	3.91	11
22684	第四志愿	3.89	12
19957	第一志愿	3.84	14
18559	第三志愿	3.84	14
20431	第三志愿	3.84	14
13099	第五志愿	3.8	18
17311	第二志愿	3.8	18
17281	第二志愿	3.78	20
17254	第一志愿	3.77	21
20002	第二志愿	3.77	21
20929	第一志愿	3.74	25
19618	第一志愿	3.74	25
13951	第三志愿	3.72	27
16663	第五志愿	3.71	28
11971	第二志愿	3.7	30
15226	第一志愿	3.69	32
17251	第二志愿	3.69	32
13093	第一志愿	3.67	36
13063	第三志愿	3.67	36
17278	第二志愿	3.66	38
19879	第二志愿	3.65	39
15655	第一志愿	3.62	41
17626	第二志愿	3.62	41
13087	第一志愿	3.61	44
15721	第一志愿	3.61	44
24091	第一志愿	3.58	50
11686	第三志愿	3.58	50
11950	第一志愿	3.56	54
19981	第五志愿	3.56	54
20005	第四志愿	3.56	54
21988	第一志愿	3.55	58
21982	第二志愿	3.55	58
18499	第二志愿	3.55	58
20932	第一志愿	3.54	63
24193	第二志愿	3.54	63
11800	第二志愿	3.53	65
22063	第一志愿	3.52	67
12985	第四志愿	3.52	67
15631	第一志愿	3.51	71
16561	第五志愿	3.49	73
23809	第三志愿	3.49	73
19963	第三志愿	3.49	73
8038	第三志愿	3.49	73
19876	第三志愿	3.47	79
11905	第三志愿	3.47	79
22699	第一志愿	3.46	84
16006	第一志愿	3.46	84
15667	第五志愿	3.46	84
15691	第二志愿	3.46	84
12073	第一志愿	3.44	90
12058	第一志愿	3.42	93
16546	第一志愿	3.42	93
23422	第四志愿	3.42	93
11959	第一志愿	3.41	98
23749	第三志愿	3.41	98
13750	第二志愿	3.41	98
13594	第二志愿	3.41	98
8044	第一志愿	3.37	104
11920	第三志愿	3.37	104
16192	第二志愿	3.37	104
18526	第一志愿	3.36	110
13084	第四志愿	3.35	111
11860	第一志愿	3.34	113
13954	第一志愿	3.34	113
17296	第五志愿	3.34	113
13732	第一志愿	3.33	116
13078	第二志愿	3.32	117
13057	第三志愿	3.31	118
8035	第二志愿	3.31	118
13582	第一志愿	3.3	122
18445	第二志愿	3.3	122
11923	第一志愿	3.29	124
20923	第一志愿	3.29	124
18574	第一志愿	3.29	124
12457	第四志愿	3.29	124
15688	第五志愿	3.28	130
21997	第三志愿	3.28	130
11953	第三志愿	3.26	133
22687	第三志愿	3.25	134
18517	第一志愿	3.24	135
22795	第二志愿	3.23	136
12820	第五志愿	3.22	138
17257	第三志愿	3.22	138
23176	第一志愿	3.2	140
17275	第一志愿	3.2	140
18532	第五志愿	3.19	142
16075	第四志愿	3.19	142
21748	第五志愿	3.17	145
17287	第五志愿	3.17	145
13747	第二志愿	3.15	149
19954	第一志愿	3.14	152
22933	第三志愿	3.14	152
18535	第一志愿	3.13	155
17740	第三志愿	3.13	155
11863	第二志愿	3.13	155
22003	第一志愿	3.12	162
19960	第三志愿	3.12	162
15658	第一志愿	3.11	164
11908	第四志愿	3.11	164
12013	第三志愿	3.11	164
11998	第一志愿	3.1	167
12052	第二志愿	3.1	167
13090	第五志愿	3.09	170
13744	第四志愿	3.09	170
16549	第三志愿	3.09	170
11980	第一志愿	3.08	176
21244	第四志愿	3.07	177
16555	第一志愿	3.06	179
19993	第三志愿	3.06	179
8053	第三志愿	3.06	179
19978	第二志愿	3.06	179
18583	第三志愿	3.05	183
24784	第二志愿	3.04	186
13645	第二志愿	3	190
11851	第四志愿	2.99	191
17266	第四志愿	2.99	191
12067	第三志愿	2.99	191
14572	第三志愿	2.99	191
18538	第二志愿	2.99	191
17293	第二志愿	2.99	191
17635	第一志愿	2.98	200
18565	第一志愿	2.97	202
16183	第五志愿	2.97	202
11956	第二志愿	2.96	205
20935	第四志愿	2.95	207
11992	第四志愿	2.94	209
13957	第五志愿	2.93	211
22759	第四志愿	2.93	211
22924	第二志愿	2.93	211
7321	第一志愿	2.92	217
11965	第四志愿	2.92	217
17272	第三志愿	2.91	219
22681	第二志愿	2.91	219
11884	第一志愿	2.89	221
11872	第一志愿	2.89	221
12025	第一志愿	2.89	221
21970	第三志愿	2.89	221
22009	第二志愿	2.89	221
16543	第二志愿	2.85	230
19309	第三志愿	2.83	233
14596	第四志愿	2.81	243
18553	第四志愿	2.8	246
11926	第三志愿	2.8	246
6727	第二志愿	2.79	248
14602	第一志愿	2.77	249
22741	第三志愿	2.76	250
13102	第三志愿	2.75	254
14587	第三志愿	2.75	254
23416	第二志愿	2.75	254
24553	第五志愿	2.74	258
23413	第五志愿	2.74	258
14584	第三志愿	2.74	258
11890	第三志愿	2.73	261
18562	第二志愿	2.73	261
11968	第五志愿	2.71	265
20578	第三志愿	2.71	265
15679	第二志愿	2.71	265
8047	第四志愿	2.7	271
7333	第一志愿	2.69	277
7330	第五志愿	2.69	277
12007	第二志愿	2.69	277
11893	第四志愿	2.68	281
21550	第四志愿	2.66	287
21238	第五志愿	2.65	290
8257	第四志愿	2.65	290
17269	第四志愿	2.65	290
18541	第一志愿	2.64	293
17290	第三志愿	2.64	293
12019	第二志愿	2.63	295
8029	第二志愿	2.63	295
12034	第三志愿	2.6	300
6586	第二志愿	2.6	300
12064	第五志愿	2.59	303
7327	第三志愿	2.55	311
8032	第四志愿	2.54	313
11929	第二志愿	2.54	313
15643	第二志愿	2.54	313
11941	第一志愿	2.52	317
11977	第五志愿	2.5	319
15040	第四志愿	2.49	320
16003	第二志愿	2.49	320
