学号	志愿类型	GPA	平均绩点排名
13060	第一志愿	4.08	1
15715	第二志愿	4.04	2
18091	第一志愿	4.03	3
19627	第二志愿	4.02	4
17302	第二志愿	4.02	4
19975	第一志愿	3.99	6
18094	第一志愿	3.97	7
17263	第一志愿	3.97	7
21250	第二志愿	3.97	7
8056	第三志愿	3.93	10
15673	第一志愿	3.91	11
22684	第一志愿	3.89	12
14026	第一志愿	3.87	13
20431	第一志愿	3.84	14
18559	第一志愿	3.84	14
19957	第二志愿	3.84	14
12982	第一志愿	3.82	17
17311	第一志愿	3.8	18
13099	第三志愿	3.8	18
17281	第一志愿	3.78	20
12055	第一志愿	3.77	21
20002	第三志愿	3.77	21
17254	第二志愿	3.77	21
15682	第二志愿	3.77	21
20929	第二志愿	3.74	25
19618	第二志愿	3.74	25
13951	第一志愿	3.72	27
12571	第一志愿	3.71	28
16663	第二志愿	3.71	28
18838	第一志愿	3.7	30
11971	第一志愿	3.7	30
17743	第一志愿	3.69	32
17251	第一志愿	3.69	32
15226	第三志愿	3.69	32
11899	第二志愿	3.68	35
13063	第一志愿	3.67	36
13093	第二志愿	3.67	36
17278	第三志愿	3.66	38
19879	第一志愿	3.65	39
11938	第一志愿	3.65	39
17068	第一志愿	3.62	41
17626	第三志愿	3.62	41
15655	第三志愿	3.62	41
19969	第一志愿	3.61	44
15721	第二志愿	3.61	44
13087	第二志愿	3.61	44
16180	第一志愿	3.6	47
13075	第一志愿	3.6	47
24202	第一志愿	3.59	49
11686	第一志愿	3.58	50
8023	第一志愿	3.58	50
24091	第三志愿	3.58	50
16531	第一志愿	3.57	53
20005	第二志愿	3.56	54
19981	第二志愿	3.56	54
11950	第二志愿	3.56	54
19966	第一志愿	3.55	58
18499	第一志愿	3.55	58
21988	第二志愿	3.55	58
16525	第二志愿	3.55	58
24193	第一志愿	3.54	63
20932	第二志愿	3.54	63
21247	第一志愿	3.53	65
11800	第一志愿	3.53	65
16792	第一志愿	3.52	67
12985	第一志愿	3.52	67
7519	第一志愿	3.52	67
22063	第二志愿	3.52	67
15631	第二志愿	3.51	71
11875	第一志愿	3.5	72
16561	第一志愿	3.49	73
12070	第一志愿	3.49	73
8038	第一志愿	3.49	73
23809	第二志愿	3.49	73
19963	第二志愿	3.49	73
20404	第一志愿	3.48	78
19876	第一志愿	3.47	79
16540	第一志愿	3.47	79
11911	第一志愿	3.47	79
11905	第一志愿	3.47	79
15691	第一志愿	3.46	84
13105	第一志愿	3.46	84
16006	第三志愿	3.46	84
22699	第二志愿	3.46	84
15667	第二志愿	3.46	84
15685	第三志愿	3.45	89
17071	第二志愿	3.44	90
12073	第二志愿	3.44	90
10069	第一志愿	3.43	92
23422	第一志愿	3.42	93
21259	第二志愿	3.42	93
16546	第二志愿	3.42	93
12058	第二志愿	3.42	93
8062	第二志愿	3.42	93
23749	第一志愿	3.41	98
12001	第一志愿	3.41	98
13750	第三志愿	3.41	98
13594	第三志愿	3.41	98
17737	第二志愿	3.41	98
11959	第二志愿	3.41	98
22006	第一志愿	3.37	104
15661	第一志愿	3.37	104
16192	第三志愿	3.37	104
13096	第二志愿	3.37	104
11920	第二志愿	3.37	104
18526	第二志愿	3.36	110
18580	第一志愿	3.35	111
13084	第一志愿	3.35	111
11860	第三志愿	3.34	113
17296	第二志愿	3.34	113
13954	第二志愿	3.34	113
13732	第三志愿	3.33	116
13078	第三志愿	3.32	117
19312	第一志愿	3.31	118
11845	第三志愿	3.31	118
13057	第二志愿	3.31	118
18445	第一志愿	3.3	122
13582	第二志愿	3.3	122
13990	第一志愿	3.29	124
12457	第一志愿	3.29	124
18574	第三志愿	3.29	124
18529	第三志愿	3.29	124
20923	第二志愿	3.29	124
11923	第二志愿	3.29	124
21997	第一志愿	3.28	130
15688	第一志愿	3.28	130
18547	第一志愿	3.27	132
11953	第二志愿	3.26	133
22687	第二志愿	3.25	134
18517	第二志愿	3.24	135
22795	第一志愿	3.23	136
12574	第二志愿	3.23	136
17257	第一志愿	3.22	138
12820	第二志愿	3.22	138
23176	第二志愿	3.2	140
17275	第二志愿	3.2	140
18532	第一志愿	3.19	142
16075	第一志愿	3.19	142
21991	第二志愿	3.19	142
21748	第一志愿	3.17	145
18097	第一志愿	3.17	145
17287	第一志愿	3.17	145
11887	第二志愿	3.17	145
13747	第三志愿	3.15	149
22933	第四志愿	3.14	152
20689	第二志愿	3.14	152
19954	第二志愿	3.14	152
21985	第一志愿	3.13	155
19972	第一志愿	3.13	155
11863	第一志愿	3.13	155
18544	第二志愿	3.13	155
18535	第二志愿	3.13	155
17740	第二志愿	3.13	155
13753	第二志愿	3.13	155
19960	第一志愿	3.12	162
22003	第二志愿	3.12	162
12013	第一志愿	3.11	164
11908	第一志愿	3.11	164
15658	第三志愿	3.11	164
12052	第四志愿	3.1	167
11998	第二志愿	3.1	167
13090	第一志愿	3.09	170
11881	第一志愿	3.09	170
17284	第三志愿	3.09	170
16549	第二志愿	3.09	170
13744	第二志愿	3.09	170
11980	第二志愿	3.08	176
21244	第一志愿	3.07	177
18556	第一志愿	3.07	177
19993	第一志愿	3.06	179
8053	第一志愿	3.06	179
19978	第四志愿	3.06	179
16555	第二志愿	3.06	179
18583	第一志愿	3.05	183
12004	第一志愿	3.05	183
24784	第一志愿	3.04	186
8599	第一志愿	3.04	186
17734	第二志愿	3.04	186
16552	第一志愿	3.03	189
13645	第一志愿	3	190
18538	第一志愿	2.99	191
17293	第一志愿	2.99	191
17266	第一志愿	2.99	191
12067	第一志愿	2.99	191
11851	第一志愿	2.99	191
18571	第二志愿	2.99	191
14572	第二志愿	2.99	191
11902	第二志愿	2.99	191
19945	第三志愿	2.98	200
17635	第二志愿	2.98	200
8020	第一志愿	2.97	202
18565	第四志愿	2.97	202
16183	第二志愿	2.97	202
11956	第一志愿	2.96	205
22744	第二志愿	2.96	205
23425	第一志愿	2.95	207
20935	第一志愿	2.95	207
11992	第一志愿	2.94	209
11944	第一志愿	2.94	209
22924	第一志愿	2.93	211
22759	第一志愿	2.93	211
11869	第一志愿	2.93	211
11839	第一志愿	2.93	211
21976	第二志愿	2.93	211
13957	第二志愿	2.93	211
11965	第一志愿	2.92	217
7321	第二志愿	2.92	217
17272	第一志愿	2.91	219
22681	第五志愿	2.91	219
22009	第一志愿	2.89	221
7606	第一志愿	2.89	221
12025	第三志愿	2.89	221
11884	第三志愿	2.89	221
21970	第二志愿	2.89	221
11872	第二志愿	2.89	221
13600	第一志愿	2.88	227
11917	第二志愿	2.88	227
16543	第三志愿	2.85	230
13066	第二志愿	2.84	231
8017	第二志愿	2.84	231
21553	第一志愿	2.83	233
21979	第四志愿	2.83	233
19309	第四志愿	2.83	233
11947	第二志愿	2.83	233
21994	第一志愿	2.82	238
11995	第一志愿	2.82	238
11983	第一志愿	2.82	238
22000	第二志愿	2.82	238
12577	第二志愿	2.82	238
19999	第一志愿	2.81	243
14596	第三志愿	2.81	243
11986	第三志愿	2.81	243
18553	第一志愿	2.8	246
11926	第二志愿	2.8	246
6727	第一志愿	2.79	248
14602	第三志愿	2.77	249
21679	第一志愿	2.76	250
19984	第一志愿	2.76	250
17299	第一志愿	2.76	250
22741	第二志愿	2.76	250
18523	第一志愿	2.75	254
14587	第一志愿	2.75	254
23416	第三志愿	2.75	254
13102	第二志愿	2.75	254
24553	第一志愿	2.74	258
14584	第二志愿	2.74	258
19951	第一志愿	2.73	261
11890	第一志愿	2.73	261
11935	第四志愿	2.73	261
18562	第三志愿	2.73	261
20578	第一志愿	2.71	265
15679	第一志愿	2.71	265
11968	第一志愿	2.71	265
8041	第三志愿	2.71	265
8260	第二志愿	2.71	265
7609	第二志愿	2.71	265
16534	第一志愿	2.7	271
11932	第一志愿	2.7	271
11866	第一志愿	2.7	271
22927	第二志愿	2.7	271
12061	第二志愿	2.7	271
8047	第二志愿	2.7	271
12007	第一志愿	2.69	277
7333	第三志愿	2.69	277
7330	第三志愿	2.69	277
8059	第二志愿	2.69	277
11893	第一志愿	2.68	281
8050	第一志愿	2.68	281
12028	第三志愿	2.68	281
13069	第二志愿	2.68	281
11974	第二志愿	2.68	281
20926	第一志愿	2.67	286
21682	第二志愿	2.66	287
21550	第二志愿	2.66	287
14581	第二志愿	2.66	287
21238	第一志愿	2.65	290
8257	第三志愿	2.65	290
17269	第二志愿	2.65	290
18541	第三志愿	2.64	293
17290	第二志愿	2.64	293
8029	第一志愿	2.63	295
6598	第一志愿	2.63	295
12019	第五志愿	2.63	295
21688	第二志愿	2.61	298
20503	第二志愿	2.61	298
12034	第一志愿	2.6	300
6586	第三志愿	2.6	300
12064	第四志愿	2.59	303
20764	第二志愿	2.59	303
17308	第二志愿	2.59	303
18568	第五志愿	2.58	306
11878	第二志愿	2.58	306
21241	第三志愿	2.57	308
11989	第三志愿	2.57	308
19987	第一志愿	2.56	310
15649	第一志愿	2.55	311
11929	第一志愿	2.54	313
8032	第一志愿	2.54	313
15643	第四志愿	2.54	313
23410	第三志愿	2.54	313
13795	第二志愿	2.52	317
11941	第二志愿	2.52	317
11977	第一志愿	2.5	319
15040	第五志愿	2.49	320
19996	第五志愿	2.48	322
8602	第二志愿	2.48	322
12010	第二志愿	2.47	324
22930	第一志愿	2.46	325
15652	第一志愿	2.46	325
23755	第一志愿	2.45	327
21253	第二志愿	2.44	328
11836	第二志愿	2.44	328
16558	第一志愿	2.42	330
21673	第四志愿	2.41	331
16537	第二志愿	2.41	331
13108	第二志愿	2.41	331
12016	第一志愿	2.4	335
11857	第一志愿	2.4	335
14605	第三志愿	2.4	335
23752	第一志愿	2.38	338
13072	第一志愿	2.37	339
11842	第二志愿	2.37	339
19267	第一志愿	2.36	341
13993	第三志愿	2.36	341
12040	第二志愿	2.36	341
21256	第二志愿	2.35	344
23419	第一志愿	2.34	346
8254	第二志愿	2.33	347
14593	第三志愿	2.31	348
12583	第二志愿	2.3	350
12046	第二志愿	2.3	350
12031	第二志愿	2.3	350
21556	第一志愿	2.29	353
11854	第二志愿	2.29	353
8605	第四志愿	2.28	355
14578	第一志愿	2.27	356
22012	第二志愿	2.27	356
21547	第一志愿	2.26	358
11833	第一志愿	2.25	360
14575	第二志愿	2.24	361
7324	第二志愿	2.24	361
20422	第一志愿	2.2	364
15676	第五志愿	2.19	365
21676	第三志愿	2.19	365
14590	第三志愿	2.17	367
17305	第一志愿	2.16	369
23758	第一志愿	2.15	370
21685	第二志愿	2.15	370
12049	第一志愿	2.13	372
16009	第三志愿	2.08	373
14020	第三志愿	2.03	374
11848	第一志愿	2.02	375
13081	第三志愿	2.02	375
11896	第一志愿	2.01	377
24136	第五志愿	2.01	377
22756	第二志愿	1.99	379
12022	第一志愿	1.97	380
8026	第一志愿	1.97	380
15640	第四志愿	1.93	382
23746	第三志愿	1.9	383
16186	第三志愿	1.9	383
21967	第二志愿	1.84	386
15664	第一志愿	1.76	387
15043	第三志愿	1.76	387
23173	第五志愿	1.72	389
